num,question_text,answer_text
NULL,복사생성자? ,객체의 복사 생성시 호출되는 특별한 생성자이다. 한 클래스에 오직 한 개만 선언 가능하고 보통 생성자와 클래스 내에 중복 선언이 가능하다.
NULL,C++ this 포인터와 *this의 차이?,this는 자기 자신을 가리키고 있는 포인터 개념이고
NULL,참조 변수 선언 시 주의사항은 무엇인가요?,초기화가 없다면 컴파일 오류가 발생한다. 참조 변수의 배열을 만들 수 없다. 
NULL,값에 의한 호출로 객체를 전달할 시에 문제점은 무엇인가요?,C++컴파일러는 매개변수 객체의 생성자는 실행되지 않고 소멸자만 실행되도록 하는 것이 문제가 될 수 있습니다.
NULL,클래스에 포인터 변수가 있는 경우. 어떤 복사 생성자를 사용하는 것이 좋나요?,"얕은 복사 생성자를 이용하면 포인터가 가진 메모를 원본과 사본 객체가 공유하는 문제가 생기고, 프로그램이 비정상 종료되기도 하므로 깊은 복사 생성자를 사용하는 것이 좋다."
NULL,복사 생성이 무엇인가요?,"복사 생성은 객체를 생성할 때, 원복 객체를 복사하여 생성하는 것을 말합니다."
NULL,복사 생성자를 생성하지 않으면 어떻게 되나요?,"컴파일러가 디폴트 복사 생성자를 자동 삽입하며, 디폴트 복사 생성자는 얕은 복사를 실행합니다."
NULL,중복함수의 조건은 무엇인가요?,"이름이 동일하고, 매개변수타입 변수 개수가 달라야 하며, 리턴 타입은 함수 중복에 고려되지 않는다는 조건이 있다."
NULL,함수중복은 어떤 편리함을 주나요?,"작성이 편리하고, 이름을 구분 지어 기억할 필요가 없어 함수를 잘못 호출하는 실수를 줄일 수 있다."
NULL,함수 중복은 실행시간을 저하시키나요?,"함수 중복은 컴파일 시에 이루어지기 때문에, 함수 중복으로 인한 실행 시간 저하는 없다."
NULL,STATIC이 활용되는 목적?,"전역 변수나 전역 함수를 클래스에 캡슐화 할 때, 객체 사이에 공유 변수를 만들고자 할 때 사용된다."
NULL,STATIC멤버 함수 사용시 주의점?,STATIC멤버 함수는 this를 사용할 수 없다.
NULL,Static멤버는 어떻게 사용할 수 있나요?,"객체의 멤버로 접근하거나, 클래스명과 범위지정 연산자로 접근할 수 있다. "
NULL,Static 멤버? ," 프로그램이 시작될 때 생성 되어 프로그램 종료시 소멸되는 클래스의 멤버로, 클래스 당 하나만 생성, 클래스 멤버라고 불린다. 클래스의 모든 객체들이 공유하는 멤버다. Non-static 멤버: 객체가 생성될 때 함께 생성되고, 객체마다 별도로 생성되므로 인스턴스 멤버라고 불린다."
NULL,함수중복? ,"동일한 이름의 함수가 공존 가능하다는 C언어에서는 불가능한 C++의 특징이다. Function overloading이라고도 불리며 보통 함수들 사이와 클래스의 멤버 함수들 사이, 상속 관계에 있는 기본 클래스와 파생 클래스의 멤버 함수들 사이에서 중복이 가능하다. 중복된 함수들은 이름이 동일해야 하고 매개 변수 타입이 다르거나 개수가 달라야 한다. 리턴 타입은 함수 중복과는 무관하다."
NULL,프렌드?,"프렌드 함수는 클래스의 멤버 함수가 아닌 외부 함수, 즉 전역함수나 다른 클래스의 멤버함수를 뜻한다. 클래스의 모든 멤버를 접근할 수 있는 권한이 부여된다. 클래스의 멤버로 선언하기에는 무리가 있고, 클래스의 모든 멤버를 자유롭게 접근 할 수 있는 일부 외부 함수 작성 시 필요하다."
NULL,연산자 중복? ,C++언어에 본래 있는 연산자를 중복 사용하여 피 연산자 타입이 다른 새로운 연산자를 정의하는 것을 뜻한다. 연산자는 함수 형태로 구현되며 반드시 클래스와 관계를 가진다. 피연산자의 개수를 바꿀 수 없고 연산의 우선 순위가 변경되지 않는다.
NULL,프렌드 함수는 왜 필요할까?,"클래스의 private, protected멤버를 접근해야 하는 특별한 경우, 이 함수를 외부 함수로 작성하고 프렌드로 선언한다."
NULL,프렌드 함수를 선언할 수 있는 경우는 무엇인가요?,"클래스 외부에 작성된 함수,다른 클래스의 멤버 함수, 다른 클래스의 모든 멤버 함수를 프렌드로 선언할 수 있다."
NULL,프렌드를 선언하는 위치는 어디인가요?,"프렌드 선언은 private, public 영역 등 아무 위치에나 가능하다."
NULL,모든 연산자는 중복가능한가요?,(. .* :: ?)는 중복이 불가능하다.
NULL,동일한 연산자 함수를 멤버 함수와 프렌드 함수로 동시 구현할 수 있나요?,하나의 연산자 함수를 멤버 함수와 프렌드 함수로 동시에 구현할 수 없다.
NULL,연산자 함수에 디폴트 매개변수를 사용할 수 있나요?,연산자 함수는 디폴트 매개변수를 가질 수 없다.
